quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2013Q4,x,287.39,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q1,x,270.44,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q2,x,266.59,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q3,x,279.37,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q4,x,261.78,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q1,x,277.1,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q2,x,288.55,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q3,x,286.65,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q4,x,298.47,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q1,x,298.7,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q2,x,297.16,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q3,x,283.58,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q4,x,280.55,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q1,x,299.16,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q2,x,305.96,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q3,x,311.8,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q4,x,302.09,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q1,x,313.47,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q2,x,300.39,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q3,x,319.74,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q4,x,328.76,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q1,x,314.42,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q2,x,301.99,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q3,x,302.94,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q4,x,311.49,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
