quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2013Q4,c,181.5,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q1,c,184.46,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q2,c,183.46,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q3,c,183.66,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q4,c,186.42,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q1,c,183.23,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q2,c,179.72,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q3,c,176.41,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q4,c,175.21,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q1,c,172.92,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q2,c,171.89,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q3,c,171.28,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q4,c,170.88,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q1,c,171.98,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q2,c,174.78,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q3,c,176.5,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q4,c,177.05,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q1,c,178.39,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q2,c,178.76,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q3,c,179.8,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q4,c,180.01,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q1,c,182.58,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q2,c,183.25,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q3,c,184.33,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q4,c,185.39,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
