quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2012Q2,pi,0.01083105843,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2012Q3,pi,0.01416561049,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2012Q4,pi,0.01992968966,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2013Q1,pi,0.01942046252,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2013Q2,pi,0.01184432291,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2013Q3,pi,0.00621017252,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2013Q4,pi,0.02043318318,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2014Q1,pi,0.02175237914,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2014Q2,pi,0.01537614328,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2014Q3,pi,0.008315071425,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2014Q4,pi,0.01719412708,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2015Q1,pi,0.0382779969,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2015Q2,pi,0.02256750507,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2015Q3,pi,0.01385907366,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2015Q4,pi,0.02815929507,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2016Q1,pi,0.02620810149,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2016Q2,pi,0.01749639653,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2016Q3,pi,0.0104305783,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2016Q4,pi,0.00741789404,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2017Q1,pi,0.00963032135,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2017Q2,pi,0.002193980018,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2017Q3,pi,0.005911447296,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2017Q4,pi,0.01144261174,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2018Q1,pi,0.007014778352,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2018Q2,pi,0.01888703088,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2018Q3,pi,0.007208535744,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2018Q4,pi,0.003894135825,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2019Q1,pi,0.0150701132,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2019Q2,pi,0.007108110741,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2019Q3,pi,0.002600889164,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2019Q4,pi,0.01767530865,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
