quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2013Q4,i,195.38,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q1,i,196.19,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q2,i,187.51,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q3,i,183.04,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q4,i,182.71,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q1,i,177.21,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q2,i,164.89,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q3,i,155.59,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q4,i,147.32,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q1,i,144.01,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q2,i,147.64,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q3,i,138.66,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q4,i,136.05,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q1,i,136.58,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q2,i,136.57,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q3,i,137.09,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q4,i,141.33,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q1,i,141.22,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q2,i,142.2,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q3,i,149.69,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q4,i,147.05,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q1,i,145.35,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q2,i,152.97,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q3,i,157.14,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q4,i,148.14,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
