quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2013Q4,m,285.84,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q1,m,287.09,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q2,m,281.31,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q3,m,288.69,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q4,m,270.84,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q1,m,270.14,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q2,m,252.47,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q3,m,230.22,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q4,m,217.21,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q1,m,206.52,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q2,m,227.98,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q3,m,213.07,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q4,m,222.02,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q1,m,226.86,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q2,m,227.26,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q3,m,235.01,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q4,m,243.38,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q1,m,241.94,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q2,m,241.74,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q3,m,266.39,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q4,m,247.29,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q1,m,240.63,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q2,m,254.77,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q3,m,265.77,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q4,m,249.08,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
